pmutype, desID, event0, event1, , start, duration, end, layerID, desType,     srcAddr, dstAddr, trans_fmt, transpose_md, cmd_id, wait_id_tpu, dst_h_stride, dst_c_stride_low,     dst_n_stride, src_h_stride, src_c_stride_low, src_n_stride, dst_c, src_c, dst_w, dst_h, src_w, src_h, src_n
2, 37, 10, 127, 2, 131287, 372, 131659, 14, TDMA Tensor Store Compression, 0x12464, 0x4295859424,         0, 0, 37, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 38, 10, 127, 2, 131660, 365, 132025, 14, TDMA Tensor Store Compression, 0x12520, 0x4295863248,         0, 0, 38, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 39, 10, 127, 2, 132026, 378, 132404, 14, TDMA Tensor Store Compression, 0x12576, 0x4295867072,         0, 0, 39, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 40, 10, 126, 2, 132405, 384, 132789, 14, TDMA Tensor Store Compression, 0x12632, 0x4295870896,         0, 0, 40, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 41, 10, 125, 2, 132790, 370, 133160, 14, TDMA Tensor Store Compression, 0x12688, 0x4295874720,         0, 0, 41, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 42, 9, 123, 2, 133161, 362, 133523, 14, TDMA Tensor Store Compression, 0x12744, 0x4295878544,         0, 0, 42, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 43, 9, 122, 2, 133524, 364, 133888, 14, TDMA Tensor Store Compression, 0x12800, 0x4295882368,         0, 0, 43, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 44, 9, 122, 2, 133889, 363, 134252, 14, TDMA Tensor Store Compression, 0x12856, 0x4295886192,         0, 0, 44, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 45, 9, 121, 2, 134253, 373, 134626, 14, TDMA Tensor Store Compression, 0x12912, 0x4295890016,         0, 0, 45, 4, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
1, 46, 222, 3486, 1, 134627, 5544, 140171, 15, TDMA Tensor Load, 0x4294983648, 0x1184,         0, 0, 46, 4, 224, 18592, 18592, 224, 50176, 150528, 3, 3, 224, 83, 224, 83, 1
4, 5, 0, 0, 3, 140175, 75269, 215444, 16, TIU PerChannel Convolution
4, 6, 0, 0, 3, 215445, 2780, 218225, 17, TIU Max Pooling
4, 7, 0, 0, 3, 218226, 17755, 235981, 18, TIU PerChannel Convolution
